qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_44321,SIVM,1MAA-SWG-A2B-SIVM-20250224-001-623,LUNCH,20250224
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_44321,SIVM,1MAA-SWG-A2B-SIVM-20250224-001-624,LUNCH,20250224
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_44321,SIVM,1MAA-SWG-A2B-SIVM-20250224-001-625,LUNCH,20250224
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_44321,SIVM,1MAA-SWG-A2B-SIVM-20250224-001-626,LUNCH,20250224
QBXNGM,a2bMntRd,SWG,1,1,SWIGGY_44321,SIVM,1MAA-SWG-A2B-SIVM-20250224-001-627,LUNCH,20250224

