qboxRemoteLocation,restaurantCode,partnerCode,orderStatusCd,orderedBy,partnerPurchaseOrderId,partnerFoodCode,uniqueCode,mealTimeCode,foodTransactionDate
QBXSHO,a2bMntRd,SWG,1,1,SWIGGYORDER_1431,SIVM,1MAA-SWG-A2B-SIVM-20250225-1112-5231,LUNCH,20250225
QBXSHO,a2bMntRd,SWG,1,1,SWIGGYORDER_1431,SIVM,1MAA-SWG-A2B-SIVM-20250225-1112-5242,LUNCH,20250225
QBXSHO,a2bMntRd,SWG,1,1,SWIGGYORDER_1431,SIVM,1MAA-SWG-A2B-SIVM-20250225-1112-5253,LUNCH,20250225
QBXSHO,a2bMntRd,SWG,1,1,SWIGGYORDER_1431,SIVM,1MAA-SWG-A2B-SIVM-20250225-1112-5264,LUNCH,20250225
QBXSHO,a2bMntRd,SWG,1,1,SWIGGYORDER_1431,SIVM,1MAA-SWG-A2B-SIVM-20250225-1112-5275,LUNCH,20250225

